epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,1605.09,0.60951,0.56471,0.94701,0.89942,0.86408,0.90671,0.66415,1.04232,0.81976,1.24799,0.000133523,0.000133523,0.000133523
105,1621.07,0.56395,0.54533,0.95091,0.88036,0.87468,0.8934,0.66129,1.04505,0.80728,1.25578,0.000130771,0.000130771,0.000130771
106,1636.56,0.61419,0.5763,0.94792,0.8762,0.85554,0.89727,0.65542,1.04888,0.83622,1.26472,0.000128019,0.000128019,0.000128019
107,1651.78,0.58559,0.56493,0.94591,0.85887,0.85263,0.89159,0.66912,1.02561,0.79986,1.24535,0.000125267,0.000125267,0.000125267
108,1667.2,0.60274,0.58615,0.95613,0.89069,0.85079,0.87894,0.65396,1.02673,0.81961,1.23341,0.000122515,0.000122515,0.000122515
109,1682.87,0.5922,0.55787,0.94404,0.86717,0.84104,0.88322,0.64963,1.0608,0.83872,1.26007,0.000119762,0.000119762,0.000119762
110,1698.58,0.61233,0.57347,0.95911,0.86735,0.86213,0.89143,0.64466,1.06821,0.82582,1.27636,0.00011701,0.00011701,0.00011701
111,1713.83,0.55955,0.54328,0.93553,0.84315,0.87183,0.89489,0.65469,1.03687,0.82333,1.26151,0.000114258,0.000114258,0.000114258
112,1729.07,0.5751,0.54916,0.94498,0.87126,0.86612,0.89221,0.65017,1.0437,0.82245,1.26998,0.000111506,0.000111506,0.000111506
113,1744.26,0.59323,0.56447,0.94403,0.87108,0.87365,0.89101,0.66478,1.01907,0.79587,1.24747,0.000108754,0.000108754,0.000108754
114,1759.44,0.56986,0.55667,0.94449,0.82518,0.89851,0.9004,0.66853,1.02681,0.82357,1.24948,0.000106001,0.000106001,0.000106001
115,1775.5,0.56079,0.53192,0.94279,0.82045,0.88848,0.89087,0.65542,1.02576,0.8326,1.2427,0.000103249,0.000103249,0.000103249
116,1791.34,0.56362,0.51397,0.94473,0.85026,0.88962,0.89242,0.65698,1.03511,0.7901,1.26135,0.000100497,0.000100497,0.000100497
117,1806.99,0.57016,0.53332,0.93522,0.86872,0.90352,0.88329,0.65274,1.02814,0.80748,1.24936,9.77448e-05,9.77448e-05,9.77448e-05
118,1822.31,0.55609,0.51771,0.93774,0.88275,0.89654,0.89923,0.65123,1.03795,0.78612,1.25192,9.49926e-05,9.49926e-05,9.49926e-05
119,1837.54,0.55891,0.52771,0.93352,0.87972,0.88676,0.89696,0.64605,1.05095,0.79074,1.26816,9.22404e-05,9.22404e-05,9.22404e-05
120,1852.94,0.52026,0.50172,0.93724,0.90602,0.87647,0.89471,0.65105,1.05623,0.79045,1.26442,8.94882e-05,8.94882e-05,8.94882e-05
121,1868.19,0.53584,0.50966,0.92766,0.89389,0.88157,0.89771,0.65598,1.05757,0.78365,1.27135,8.6736e-05,8.6736e-05,8.6736e-05
122,1883.43,0.54419,0.52975,0.93351,0.89554,0.86451,0.89424,0.6545,1.07839,0.79688,1.30184,8.39838e-05,8.39838e-05,8.39838e-05
123,1898.52,0.56556,0.5307,0.94317,0.84725,0.9047,0.90545,0.65606,1.06725,0.77487,1.28912,8.12316e-05,8.12316e-05,8.12316e-05
124,1914.09,0.55916,0.51682,0.93717,0.86643,0.90571,0.91062,0.65842,1.05689,0.78509,1.28676,7.84794e-05,7.84794e-05,7.84794e-05
125,1930.58,0.54004,0.49806,0.92822,0.8965,0.86828,0.90525,0.65568,1.03779,0.77393,1.26637,7.57272e-05,7.57272e-05,7.57272e-05
126,1946.43,0.53665,0.50959,0.92544,0.88414,0.86981,0.90436,0.65537,1.03504,0.76333,1.26436,7.2975e-05,7.2975e-05,7.2975e-05
127,1961.75,0.5489,0.51165,0.92922,0.88421,0.86497,0.90547,0.66386,1.04474,0.78874,1.28459,7.02228e-05,7.02228e-05,7.02228e-05
128,1977.45,0.5367,0.5069,0.93681,0.88032,0.86541,0.90288,0.65395,1.06306,0.79426,1.29937,6.74706e-05,6.74706e-05,6.74706e-05
129,1992.68,0.539,0.49551,0.93347,0.8883,0.86886,0.90349,0.65324,1.03594,0.78221,1.27468,6.47184e-05,6.47184e-05,6.47184e-05
130,2008.07,0.54697,0.534,0.94165,0.8921,0.86843,0.89355,0.64797,1.04321,0.78901,1.27525,6.19662e-05,6.19662e-05,6.19662e-05
131,2023.24,0.53139,0.49204,0.92986,0.89252,0.87606,0.89345,0.64818,1.04561,0.78387,1.27742,5.9214e-05,5.9214e-05,5.9214e-05
132,2038.56,0.53774,0.49686,0.92912,0.90339,0.87355,0.90304,0.64829,1.03422,0.79692,1.26675,5.64618e-05,5.64618e-05,5.64618e-05
133,2053.84,0.52018,0.4945,0.92637,0.89376,0.86497,0.89946,0.65602,1.05562,0.79278,1.28418,5.37096e-05,5.37096e-05,5.37096e-05
134,2069.24,0.54154,0.50235,0.92786,0.89068,0.88896,0.91408,0.65751,1.04414,0.78849,1.2769,5.09574e-05,5.09574e-05,5.09574e-05
135,2085.51,0.47934,0.4608,0.91777,0.88014,0.87951,0.89511,0.65478,1.04188,0.80144,1.28199,4.82052e-05,4.82052e-05,4.82052e-05
136,2101.21,0.5098,0.48997,0.92667,0.88448,0.87663,0.88969,0.65361,1.04632,0.78057,1.27922,4.5453e-05,4.5453e-05,4.5453e-05
137,2116.96,0.48998,0.48807,0.92027,0.85831,0.88121,0.899,0.66229,1.04911,0.7883,1.2896,4.27008e-05,4.27008e-05,4.27008e-05
138,2132.36,0.53431,0.48142,0.92016,0.88143,0.86924,0.90559,0.6653,1.03877,0.79673,1.28603,3.99486e-05,3.99486e-05,3.99486e-05
139,2147.76,0.53045,0.5046,0.93283,0.88131,0.86219,0.89828,0.66127,1.04092,0.79551,1.28349,3.71964e-05,3.71964e-05,3.71964e-05
140,2163.02,0.52931,0.49961,0.9322,0.87645,0.85813,0.89717,0.66235,1.04333,0.79381,1.27965,3.44442e-05,3.44442e-05,3.44442e-05
141,2179.42,0.42913,0.45626,0.88531,0.87122,0.86286,0.90091,0.66939,1.05791,0.80317,1.2892,3.1692e-05,3.1692e-05,3.1692e-05
142,2194.46,0.42423,0.47141,0.88621,0.88095,0.88502,0.89924,0.65673,1.05683,0.79787,1.29105,2.89398e-05,2.89398e-05,2.89398e-05
143,2209.39,0.41983,0.44797,0.87873,0.88239,0.87796,0.90547,0.664,1.04547,0.80112,1.28711,2.61876e-05,2.61876e-05,2.61876e-05
144,2224.11,0.40607,0.44256,0.87241,0.88254,0.87831,0.90598,0.66588,1.04771,0.79244,1.28665,2.34354e-05,2.34354e-05,2.34354e-05
145,2238.87,0.40002,0.43273,0.87225,0.8831,0.87877,0.90132,0.66247,1.04487,0.77992,1.28172,2.06832e-05,2.06832e-05,2.06832e-05
146,2253.5,0.40803,0.43445,0.86509,0.88261,0.87386,0.90113,0.66164,1.04184,0.7775,1.27867,1.7931e-05,1.7931e-05,1.7931e-05
147,2268.7,0.40626,0.42619,0.86923,0.87973,0.87695,0.90482,0.66625,1.04245,0.77407,1.28211,1.51788e-05,1.51788e-05,1.51788e-05
148,2283.84,0.39448,0.42193,0.86046,0.8811,0.87526,0.90578,0.66521,1.04055,0.76494,1.28426,1.24266e-05,1.24266e-05,1.24266e-05
149,2298.73,0.40013,0.42434,0.8666,0.88232,0.87288,0.90609,0.66287,1.0454,0.76908,1.28844,9.6744e-06,9.6744e-06,9.6744e-06
